ID,Docstatus,Installation_Date,Customer,Owner,Status,Remarks,Creation,Item_Code,Installed_Qty,Acquisition_Type,Equipment_Type,Maintenance_Interval,Last_Date_Maintained
INST0100,1,2023-02-27,LIFE SCIENCES MEDICAL CENTER,cecil.ayeebo@dcllabx.com,Submitted,"Installation and user training completed successfully. 


Serial Number: 44220801900",2023-03-01 8:20:11,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2023-02-27
INST0101,1,2023-03-08,Komfo Anokye Teaching Hospital,wgilbert@dcllabx.com,Submitted,"It was identified that the installed equipment (Nuve Centrifuge NF 200) was a substitute. Hence, the facility looks forward the replacement of the required model (NF 400).

Serial Number: 03.14895",2023-03-09 11:42:49,NF 200,1,Outright,Non- Analyzer,12 Months,2023-03-08
INST0102,1,2023-03-22,Divine Netcare Hospital,wgilbert@dcllabx.com,Submitted,"Equipment successfully installed and end-users duly trained.

S/N: C13.20.387",2023-03-22 14:31:50,SM01,1,Outright,Non- Analyzer,12 Months,2023-03-22
INST0104,1,2023-03-27,Ghana Atomic Energy Commission Hospital,michael.oduro@dcllabx.com,Submitted,"SN - K10012051364

Analyzer has been installed successfully. Controls were run and user training was executed successfully. ",2023-03-28 9:02:41,H360,1,Outright,Analyzer,12 Months,2023-03-27
INST0103,1,2023-03-27,Ghana Atomic Energy Commission Hospital,cecil.ayeebo@dcllabx.com,Submitted,"Serial Number: 44-220801903

Installation and User training done.",2023-03-28 8:50:56,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2023-03-27
INST0107,1,2023-04-03,St. Andrews Catholic Hospital,cecil.ayeebo@dcllabx.com,Submitted,"Serial Number: 20-9682

Installation and user training completed",2023-04-25 8:47:26,6003-542,1,Outright,Analyzer,12 Months,2023-04-03
INST0105,1,2023-04-20,Divine Netcare Hospital,wgilbert@dcllabx.com,Submitted,"All parts were assembled together and the equipment was powered on. End users were trained accordingly and the three levels of controls were run. It was observed that 5 parameters where consistently out of range within 6 runs, so calibration was done. After which 3 parameters fell within range and the scientist said the other 2 can be ignored since they are not needed.

Machine S/N: K10012051365",2023-04-21 10:08:51,H360,1,Outright,Analyzer,12 Months,2023-04-20
INST0106,1,2023-04-25,Ho Teaching Hospital,theophilus.lartey@dcllabx.com,Submitted,installation for selectra ProS,2023-04-25 7:31:35,6003-542,1,Placement,Analyzer,6 months,2023-04-25
INST0133,1,2023-04-28,Abrafi Memorial Hospital,patrina.otoo@dcllabx.com,Submitted,"serial number - 641795

Installation and user training completed",2023-04-28 14:45:33,A380,1,Placement (To be picked),Analyzer,6 months,2023-04-28
INST0130,1,2023-04-28,SIBAKON,patrina.otoo@dcllabx.com,Submitted,"serial number - RT 0340513  ARD SH00 30617 AWO200113APD

Installation and user training completed",2023-04-28 14:21:58,MPL,1,Outright,Non- Analyzer,12 Months,2023-04-28
INST0122,1,2023-04-28,UNIVERSITY OF EDUCATION WINNIBA- kumasi campus,patrina.otoo@dcllabx.com,Submitted,"Serial number ; 44-210301084

installation and user training completed",2023-04-28 12:41:42,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2023-04-28
INST0117,1,2023-04-28,The Bank Hospital,patrina.otoo@dcllabx.com,Submitted,Serial number ; 17-9668,2023-04-28 11:04:12,S001,1,Placement,Analyzer,6 months,2023-04-28
INST0152,1,2023-05-11,Takoradi (European) Hospital,patrina.otoo@dcllabx.com,Submitted,Serial number ; 44211001433,2023-05-16 9:32:20,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2023-05-11
INST0153,1,2023-05-17,Adabraka polyclinic,emmanuel.gyan@dcllabx.com,Submitted,"Installation for temporal usage...
Serial Number: 641936
",2023-05-17 15:51:01,A380,1,Sold,Analyzer,12 Months,2023-05-17
INST0154,1,2023-06-30,Komfo Anokye Teaching Hospital,wgilbert@dcllabx.com,Submitted,Equipment successfully installed and end users duly trained.,2023-06-30 11:36:38,NF 048,1,Outright,Non- Analyzer,12 Months,2023-06-30
INST0155,1,2023-07-14,Komfo Anokye Teaching Hospital,wgilbert@dcllabx.com,Submitted,"One of the NF 400 Nuve centrifuge was installed in the hematology lab. It came with buckets that was not suitable for their use as requested in their award specification. But the other centrifuge is yet to be installed in OPD.

S/N: 03.5117",2023-07-14 9:51:40,NF 400,2,Outright,Non- Analyzer,12 Months,2023-07-14
INST0156,1,2023-07-19,Gene Lab Ltd,kenneth.atakora@dcllabx.com,Submitted,"The  SmartlytePlus analyzer was successfully installed and the end user was also trained.

S/N 44220801901",2023-07-20 8:32:13,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2023-07-19
INST0157,1,2023-08-24,Yemaachi Biotech,ebenezer.dzidah@dcllabx.com,Submitted,"Started the installation of the biobase laboratory refrigerator with the serial no: YC036025200079 on the 23rd of August and encountered an E4 error message which we reported to Biobase and went back the next day, 24th to rectify the error and trained the end users.",2023-08-25 9:24:10,BPR-5V360,1,Outright,Non- Analyzer,12 Months,2023-08-24
INST0159,1,2023-10-26,National Public Health Reference Lab,pius.antwi-yamoah@dcllabx.com,Submitted,successful installation and training.,2023-10-26 15:53:54,BMSW3002A120ACS,1,Outright,Non- Analyzer,12 Months,2023-10-26
INST0158,1,2023-10-26,National Public Health Reference Lab,kenneth.atakora@dcllabx.com,Submitted,The Accuris calibration pipette ( analytical  balance ) with serial number ITA2301899  was successfully installed and trained.,2023-10-26 15:50:28,BMSW3002A120ACS,1,Outright,Non- Analyzer,12 Months,2023-10-26
INST0160,1,2024-01-18,University Hospital,kenneth.atakora@dcllabx.com,Submitted,Easytat electrolyte analyzer of serial number 0222031006 was successfully installed,2024-01-18 17:32:31,Blood Gas Analyzer,1,Outright,Analyzer,12 Months,2024-01-18
INST0161,1,2024-01-25,"UCC HOSPITAL, LABORATORY UNIT",cecil.ayeebo@dcllabx.com,Submitted,"Installation and training was completed successfully.

Analyser serial number: 44-220801902",2024-01-26 8:16:29,0-DD-SMARTLYTEPLUS,1,Outright,Analyzer,12 Months,2024-01-25
INST0162,1,2024-02-19,MDS-LANCET LABORATORIES GHANA LTD,kenneth.atakora@dcllabx.com,Submitted,"The installation of 4  bench-top centrifuge of serial numbers; 04.17897, 03.14895, 04.17907, 04.17857 was successfully installed and trained at Lancet Laboratories Ltd.",2024-02-19 9:17:58,NF 200,4,Outright,Non- Analyzer,12 Months,2024-02-19
INST0163,1,2024-02-22,University Hospital,kenneth.atakora@dcllabx.com,Submitted,NF 800 with serial number 06.5561 installation and training was successfully done at university of Ghana new student clinic lab.,2024-02-22 17:42:40,NF 800,1,Outright,Non- Analyzer,12 Months,2024-02-22
INST0164,1,2024-02-28,Cape Coast Teaching Hospital,ebenezer.dzidah@dcllabx.com,Submitted,Nuve ND 12 with serial number: 03.1803 was successfully trained at capecoast teaching Hospital.,2024-03-01 10:30:58,ND 12,1,Outright,Non- Analyzer,12 Months,2024-02-28
INST0166,1,2024-04-16,University Hospital,cecil.ayeebo@dcllabx.com,Submitted,SN#; K11052050030 at the main hospital lab,2024-04-17 14:08:25,ELite 580,1,Placement,Analyzer,6 Months,2024-04-16
INST0165,1,2024-04-16,University Hospital,cecil.ayeebo@dcllabx.com,Submitted," installed at University of Ghana Hospital. 
Serial number: K11052050027 at the main campus student clinic.",2024-04-17 14:02:27,ELite 580,1,Placement,Analyzer,6 Months,2024-04-16
